trait_id,GeneID,Symbol,Org_name,tax_id
transcription_factor_NCBI,1457,CSNK2A1,Homo sapiens,9606
transcription_factor_NCBI,6908,TBP,Homo sapiens,9606
transcription_factor_NCBI,958,CD40,Homo sapiens,9606
transcription_factor_NCBI,5888,RAD51,Homo sapiens,9606
transcription_factor_NCBI,406937,MIR145,Homo sapiens,9606
transcription_factor_NCBI,2626,GATA4,Homo sapiens,9606
transcription_factor_NCBI,6776,STAT5A,Homo sapiens,9606
transcription_factor_NCBI,7076,TIMP1,Homo sapiens,9606
transcription_factor_NCBI,4208,MEF2C,Homo sapiens,9606
transcription_factor_NCBI,2623,GATA1,Homo sapiens,9606
transcription_factor_NCBI,3596,IL13,Homo sapiens,9606
transcription_factor_NCBI,1786,DNMT1,Homo sapiens,9606
transcription_factor_NCBI,4763,NF1,Homo sapiens,9606
transcription_factor_NCBI,6688,SPI1,Homo sapiens,9606
transcription_factor_NCBI,1045,CDX2,Homo sapiens,9606
transcription_factor_NCBI,2078,ERG,Homo sapiens,9606
transcription_factor_NCBI,30009,TBX21,Homo sapiens,9606
transcription_factor_NCBI,959,CD40LG,Homo sapiens,9606
transcription_factor_NCBI,79923,NANOG,Homo sapiens,9606
transcription_factor_NCBI,100507436,MICA,Homo sapiens,9606
transcription_factor_NCBI,6662,SOX9,Homo sapiens,9606
transcription_factor_NCBI,640,BLK,Homo sapiens,9606
transcription_factor_NCBI,1545,CYP1B1,Homo sapiens,9606
transcription_factor_NCBI,9314,KLF4,Homo sapiens,9606
transcription_factor_NCBI,2896,GRN,Homo sapiens,9606
transcription_factor_NCBI,2735,GLI1,Homo sapiens,9606
transcription_factor_NCBI,6469,SHH,Homo sapiens,9606
transcription_factor_NCBI,3600,IL15,Homo sapiens,9606
transcription_factor_NCBI,648,BMI1,Homo sapiens,9606
transcription_factor_NCBI,60489,APOBEC3G,Homo sapiens,9606
transcription_factor_NCBI,3620,IDO1,Homo sapiens,9606
transcription_factor_NCBI,5806,PTX3,Homo sapiens,9606
transcription_factor_NCBI,378938,MALAT1,Homo sapiens,9606
transcription_factor_NCBI,6256,RXRA,Homo sapiens,9606
transcription_factor_NCBI,9518,GDF15,Homo sapiens,9606
transcription_factor_NCBI,331,XIAP,Homo sapiens,9606
transcription_factor_NCBI,4297,KMT2A,Homo sapiens,9606
transcription_factor_NCBI,948,CD36,Homo sapiens,9606
transcription_factor_NCBI,5080,PAX6,Homo sapiens,9606
transcription_factor_NCBI,23405,DICER1,Homo sapiens,9606
transcription_factor_NCBI,2022,ENG,Homo sapiens,9606
transcription_factor_NCBI,1788,DNMT3A,Homo sapiens,9606
transcription_factor_NCBI,7942,TFEB,Homo sapiens,9606
transcription_factor_NCBI,7057,THBS1,Homo sapiens,9606
transcription_factor_NCBI,6778,STAT6,Homo sapiens,9606
transcription_factor_NCBI,6794,STK11,Homo sapiens,9606
transcription_factor_NCBI,3685,ITGAV,Homo sapiens,9606
transcription_factor_NCBI,5371,PML,Homo sapiens,9606
transcription_factor_NCBI,2056,EPO,Homo sapiens,9606
transcription_factor_NCBI,5156,PDGFRA,Homo sapiens,9606
transcription_factor_NCBI,10644,IGF2BP2,Homo sapiens,9606
transcription_factor_NCBI,5021,OXTR,Homo sapiens,9606
transcription_factor_NCBI,3551,IKBKB,Homo sapiens,9606
transcription_factor_NCBI,4792,NFKBIA,Homo sapiens,9606
transcription_factor_NCBI,1994,ELAVL1,Homo sapiens,9606
transcription_factor_NCBI,268,AMH,Homo sapiens,9606
transcription_factor_NCBI,4160,MC4R,Homo sapiens,9606
transcription_factor_NCBI,100124700,HOTAIR,Homo sapiens,9606
transcription_factor_NCBI,1871,E2F3,Homo sapiens,9606
transcription_factor_NCBI,3303,HSPA1A,Homo sapiens,9606
transcription_factor_NCBI,27086,FOXP1,Homo sapiens,9606
transcription_factor_NCBI,604,BCL6,Homo sapiens,9606
transcription_factor_NCBI,1589,CYP21A2,Homo sapiens,9606
transcription_factor_NCBI,4316,MMP7,Homo sapiens,9606
transcription_factor_NCBI,10725,NFAT5,Homo sapiens,9606
transcription_factor_NCBI,7424,VEGFC,Homo sapiens,9606
transcription_factor_NCBI,7468,NSD2,Homo sapiens,9606
transcription_factor_NCBI,9021,SOCS3,Homo sapiens,9606
transcription_factor_NCBI,1789,DNMT3B,Homo sapiens,9606
transcription_factor_NCBI,8202,NCOA3,Homo sapiens,9606
transcription_factor_NCBI,7128,TNFAIP3,Homo sapiens,9606
transcription_factor_NCBI,1977,EIF4E,Homo sapiens,9606
transcription_factor_NCBI,6670,SP3,Homo sapiens,9606
transcription_factor_NCBI,23476,BRD4,Homo sapiens,9606
transcription_factor_NCBI,3663,IRF5,Homo sapiens,9606
transcription_factor_NCBI,3456,IFNB1,Homo sapiens,9606
transcription_factor_NCBI,3014,H2AX,Homo sapiens,9606
transcription_factor_NCBI,8651,SOCS1,Homo sapiens,9606
transcription_factor_NCBI,3169,FOXA1,Homo sapiens,9606
transcription_factor_NCBI,174,AFP,Homo sapiens,9606
transcription_factor_NCBI,5058,PAK1,Homo sapiens,9606
transcription_factor_NCBI,652,BMP4,Homo sapiens,9606
transcription_factor_NCBI,23028,KDM1A,Homo sapiens,9606
transcription_factor_NCBI,6928,HNF1B,Homo sapiens,9606
transcription_factor_NCBI,7077,TIMP2,Homo sapiens,9606
transcription_factor_NCBI,6777,STAT5B,Homo sapiens,9606
transcription_factor_NCBI,25937,WWTR1,Homo sapiens,9606
transcription_factor_NCBI,2353,FOS,Homo sapiens,9606
transcription_factor_NCBI,4904,YBX1,Homo sapiens,9606
transcription_factor_NCBI,8856,NR1I2,Homo sapiens,9606
transcription_factor_NCBI,10320,IKZF1,Homo sapiens,9606
transcription_factor_NCBI,6597,SMARCA4,Homo sapiens,9606
transcription_factor_NCBI,7474,WNT5A,Homo sapiens,9606
transcription_factor_NCBI,5777,PTPN6,Homo sapiens,9606
transcription_factor_NCBI,10664,CTCF,Homo sapiens,9606
transcription_factor_NCBI,59067,IL21,Homo sapiens,9606
transcription_factor_NCBI,7341,SUMO1,Homo sapiens,9606
transcription_factor_NCBI,10411,RAPGEF3,Homo sapiens,9606
transcription_factor_NCBI,3297,HSF1,Homo sapiens,9606
transcription_factor_NCBI,4684,NCAM1,Homo sapiens,9606
transcription_factor_NCBI,4072,EPCAM,Homo sapiens,9606
transcription_factor_NCBI,5430,POLR2A,Homo sapiens,9606
transcription_factor_NCBI,1814,DRD3,Homo sapiens,9606
transcription_factor_NCBI,6678,SPARC,Homo sapiens,9606
transcription_factor_NCBI,1585,CYP11B2,Homo sapiens,9606
