"ucsc","entrezgene_id"
"uc001zpq.1","825"
"uc002bcy.4","23102"
"uc002bdy.3","1138"
"uc002bjk.1","9455"
"uc002clc.2","7329"
"uc002css.1",NA
"uc002czd.4","18"
"uc002czv.3","80063"
"uc002dpc.1",NA
"uc002gal.3","388324"
"uc002gus.1",NA
"uc002hdj.1","57649"
"uc002ind.4","10951"
"uc002ixr.1","1213"
"uc002jny.4","2885"
"uc002knt.3","23255"
"uc002lkw.3","81832"
"uc002ltz.2","148229"
"uc002msl.4",NA
"uc002neb.1","58513"
"uc002ozx.4","10452"
"uc002pmg.3","3743"
"uc002qot.3","400720"
"uc002qtd.3","84878"
"uc002rbe.4","1876"
"uc002red.3","338"
"uc002rfy.1","5443"
"uc002ruu.3","5581"
"uc002shp.4","55577"
"uc002sjr.1",NA
"uc002sjs.3","10617"
"uc002thb.2","10018"
"uc002uve.1",NA
"uc002vuo.1","55230"
"uc002wfq.3","140885"
"uc002wlh.1","9962"
"uc002xep.3","51282"
"uc002xll.3","100505783"
"uc002xob.3","55861"
"uc002yat.3","116154"
"uc002ybl.3","284757"
"uc002zlx.1",NA
"uc002zmz.4","23786"
"uc003bmh.2","440836"
"uc003cfc.2","25904"
"uc003ctk.3","11277"
"uc003dih.2","50650"
"uc003ejx.4","11343"
"uc003ekl.1","285224"
"uc003erh.3","4690"
"uc003ese.1","347736"
"uc003euj.1",NA
"uc003gvl.3","323"
"uc003htj.4","10611"
"uc003hvx.4","55024"
"uc003iir.1","100507639"
"uc003ivt.1","201965"
"uc003izi.1","132625"
"uc003jga.3","401177"
"uc003jhw.2","4883"
"uc003keb.3","51426"
"uc003ktb.1","153163"
"uc003lxs.1","285626"
"uc003mkt.1","8878"
"uc003nrc.4","11270"
"uc003oap.2","177"
"uc003odt.2","10471"
"uc003oqu.2","7942"
"uc003ptw.1","8936"
"uc003qha.2","9053"
"uc003qud.1","101929239"
"uc003tdo.1","27241"
"uc003upp.3","8295"
"uc003vkw.1","142685"
"uc003vtp.1","349160"
"uc003vts.1",NA
"uc003vuy.4","51631"
"uc003wjh.1","116988"
"uc003xdz.2","27299"
"uc003ymg.1","55074"
"uc003zao.1","2907"
"uc003zwx.4","9853"
"uc004brb.2","90678"
"uc004bsu.3","138429"
"uc004dbr.3","158809"
"uc004dbw.3","139422"
"uc004deo.4","54880"
"uc009zbt.1","399968"
"uc009zea.3","2305"
"uc010adq.1","10301"
"uc010adq.1","100874074"
"uc010cnf.2","7157"
"uc010cng.2","7157"
"uc010eyg.2","51277"
"uc010flf.1","130355"
"uc010gqy.4","23786"
"uc010hcz.3","84657"
"uc010hts.1","79876"
"uc010jsu.2","7940"
"uc010kgq.2","9053"
"uc010oqq.2","1491"
"uc010osc.2","54680"
"uc010pdy.3",NA
"uc010pwr.1","27185"
"uc010qfg.3","240"
"uc010qqe.1","10724"
"uc010rim.2","219436"
"uc010rio.2","390144"
"uc010rir.2","390148"
"uc010rkh.2","390191"
"uc010sgb.1","283314"
"uc010szm.1","283460"
"uc010tli.2","123103"
"uc010uex.2","6557"
"uc010uij.3","9960"
"uc010uld.3","9399"
"uc010uxp.2","23295"
"uc010vkj.1","6560"
"uc010vlm.2","11060"
"uc010vlo.3","348174"
"uc010vnz.2","9013"
"uc010vyl.2","125206"
"uc010wty.2","7077"
"uc010xav.2","29919"
"uc010ylv.3","84450"
"uc010ynp.2","6432"
"uc010zos.3","10494"
"uc011afi.1","6612"
"uc011bpx.2","57552"
"uc011djq.1","9856"
"uc011khw.2","1021"
"uc011krc.1","401409"
"uc011ksw.2","259285"
